transaction_hash,date_time,from_address,to_address,transaction_type,contract_address,asset_symbol,asset_name,token_id,value_amount_eth,gas_fee_eth
0x94bcccffda6327af2e5a609eb1186347a1847418d3cb55fe723479dc0723c6e3,2024-11-26 12:05:59,0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,,0.000000000647821942,0.000407198241582885
0xc09da0b378f6e1c390cb9df6f9fd515d2cd35d83602302af0dc0a4f2c11c9a7f,2024-11-27 01:28:11,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,,0.000000000647821942,0.000686615780708143
0x5ba94c0c84deaba03adbac8495bdcd75c8a0e53fccb386fcdfdc052030205a27,2024-12-20 05:34:47,0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,,0.000000000832445411,0.000845048029301237
0xd84b99c3159d67b2869d340ab39a6b1c2542502fa9e1e516469f8088a1a9eb83,2024-12-20 16:05:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,,0.000000000832445411,0.002325651538148029
0xfcd8c3e39f59d0b5c40c3700961141b4c227d12b9a3bfda711c9120cf08d3e5c,2025-02-14 08:22:11,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,,0.000000000801797344,0.00006222131356606
0xdd9f6f4220d80d7c31cce7515ddca79838d83aa2a0f477e7071650ced564bc84,2025-02-14 17:42:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,,0.000000000210469998,0.00006887418337448
0xf63411bd2abb7ecebaf9fe5aafeb6a87d4e565a21d5294335d0da1c7afa8f0d0,2025-02-21 13:32:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,,0.000000000591327346,0.00006503533385154
0x70180fff2c5e884ab70c6b427443c7f6ec3cec2e8a32fe30555d3d273eaf5451,2025-03-10 11:49:35,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,,0.00000000028989527,0.00003455221877272
0x37077f6a0225a9be78d8a1d224b8a9f05aad80cc89dd560942cca4638ee712d6,2025-03-12 09:43:47,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,,0.000000008899885422,0.000030709666935428
0xef36052def6ae742a87dc8be51c308b26142b81dd8bd39cf6de39447aeca2afb,2025-04-06 22:24:23,0xa39b189482f984388a34460636fea9eb181ad1a6,0x1c147efe3d7da21b03021a6e4ac445c16293e6e1,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,,0.0000000005,0.000067274706954936
